year,Country_Name,Country_Code,Adolescent_fertility_rate_births_per_1_000_women_ages_15_19_,Age_dependency_ratio_of_working_age_population_,Age_population_age_0_female_interpolated,Age_population_age_0_male_interpolated,Age_population_age_01_female_interpolated,Age_population_age_01_male_interpolated,Age_population_age_02_female_interpolated,Age_population_age_02_male_interpolated,Age_population_age_03_female_interpolated,Age_population_age_03_male_interpolated,Age_population_age_04_female_interpolated,Age_population_age_04_male_interpolated,Age_population_age_05_female_interpolated,Age_population_age_05_male_interpolated,Birth_rate_crude_per_1_000_people_,Death_rate_crude_per_1_000_people_,Fertility_rate_total_births_per_woman_,GDP_current_US_,GDP_per_capita_Current_US_,Inflation_consumer_prices_annual_,Life_expectancy_at_birth_female_years_,Life_expectancy_at_birth_male_years_,Population_ages_0_14_female,Population_ages_0_14_of_total_,Population_ages_15_64_female,Population_ages_15_64_male,Population_ages_15_64_of_total_,Population_ages_15_64_total,Population_ages_65_and_above_female,Population_ages_65_and_above_of_total_,Population_female,Population_female_of_total_,Population_total,GDP_growth_annual_
2008,Sweden,SWE,5.8922,52.8370961137736,56796,60179,53637,56754,51086,53987,53883,56788,50534,53254,47975,50554,11.9,9.9,1.91,513965650650.119,55746.8423811175,3.43704910602875,83.2,79.1,754730,16.8222962490622,2968350,3063956,65.4291433588578,6032330,912486,17.74856039208,4635566,50.2792662244902,9219637,-0.55704762769993
2009,Sweden,SWE,5.7724,52.8348653227763,55154,58548,54110,57322,52969,56018,51788,54692,52930,55806,50608,53341,12,9.7,1.94,429657033107.737,46207.0592032962,-0.494460544378046,83.4,79.4,750727,16.595776572404,2993177,3090841,65.4301003341609,6084028,927072,17.9741230934351,4670976,50.2335701263878,9298515,-5.18465903007937
2010,Sweden,SWE,5.6526,53.2015057914553,53944,57275,54530,57783,54503,57663,53981,57038,53083,56034,51929,54773,12.3,9.6,1.98,488909078695.423,52132.9185271581,1.15798802715629,83.5,79.5,753059,16.5079261627694,3010654,3110777,65.2735073536491,6121432,943236,18.2185664835816,4706949,50.1907156610907,9378126,6.10424992231479
2011,Sweden,SWE,5.5328,53.8736893186493,53360,56532,54878,58246,55219,58512,55010,58208,54362,57452,53386,56361,11.8,9.5,1.9,563797423389.285,59666.0720198904,2.96115073822139,83.8,79.9,758471,16.5123265720758,3020477,3120402,64.9883708793635,6140890,959975,18.4993025485607,4738924,50.1515176645246,9449213,2.67922810276563
2012,Sweden,SWE,5.413,54.8713417573491,53102,56033,55308,58436,55790,59192,55884,59216,55494,58728,54720,57840,11.9,9.7,1.91,544481531961.98,57197.1993076414,0.8883775069237,83.6,79.9,769110,16.623671103806,3023099,3123524,64.5697206774995,6146633,978485,18.8066082186945,4770694,50.1156231307472,9519374,-0.298512381188857
2013,Sweden,SWE,5.3782,56.1186500432887,53215,55896,55599,58614,57022,60255,56666,60100,56513,59881,55941,59210,11.8,9.4,1.89,579360671663.959,60347.6874885834,-0.0442929701486557,83.8,80.2,785460,16.830040871545,3023787,3125625,64.0538511387175,6149412,998833,19.1161079897376,4808080,50.0821872446436,9600379,1.23834939778263
2014,Sweden,SWE,5.3434,57.378799747184,53711,56233,55971,58911,57401,60625,58106,61498,57510,60974,57110,60513,11.9,9.2,1.88,574413132024.98,59241.6063787415,-0.17963849411465,84.2,80.4,804899,17.0705523245253,3028497,3132501,63.5409648670874,6161002,1019509,19.3884828083872,4852905,50.0500186957324,9696110,2.60190266972866
2015,Sweden,SWE,5.3086,58.4655957168043,54574,57095,56507,59447,57773,61003,58447,61856,58606,62097,58324,61820,11.7,9.3,1.85,498117638852.897,50832.5527092655,-0.0467847449832651,84.1,80.4,824402,17.2970733538416,3038575,3145217,63.1051772585116,6183794,1038398,19.5977493876468,4901375,50.0181900826768,9799186,4.45656910952738
2016,Sweden,SWE,5.2738,59.320481409291,56057,58780,55343,57984,56836,59810,57817,61028,58340,61703,58455,61897,11.8,9.2,1.85,512205240408.433,51617.5403524643,0.984269244577978,84.1,80.6,840287,17.3995960166029,3059838,3168538,62.766569626755,6228380,1060095,19.8338343566421,4960220,49.9866684164264,9923085,2.68396634344812
2017,Sweden,SWE,5.239,60.0513522738936,57944,61020,58469,61679,56056,58807,57107,60104,57802,60983,58172,61479,11.5,9.1,1.85,535607385506.432,53253.4766411192,1.79449904665596,84.1,80.6,858311,17.5349453081069,3086964,3197079,62.4799497028515,6284045,1079139,19.9851049890416,5024414,49.9559011754473,10057698,2.10471614023258
2018,Sweden,SWE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
